,ntx_loss_b,ntx_loss_e,vloss_b,vloss_e
0,6.240850925445557,5.946618053648207,5.445648193359375,5.444524202591333
1,6.228595733642578,5.012064644414136,5.425590991973877,4.658777933854323
2,8.47475528717041,4.404098033905029,5.598718166351318,4.361393280518361
3,6.2279229164123535,4.080939643403404,5.429018020629883,4.063972222499358
4,6.235640048980713,3.8781112860410643,5.5352630615234375,3.8933383501493015
5,6.234896183013916,3.6881299497734785,5.60335111618042,3.697821103609525
6,6.229705810546875,3.532589182894454,5.521914482116699,3.650378245573777
7,6.220582485198975,3.410858325469188,5.478456497192383,3.52089455188849
8,6.188393592834473,3.298532546076,5.604735374450684,3.441305777965448
9,6.3076887130737305,3.2080726633723984,5.517296314239502,3.340851459747706
10,6.276219844818115,3.118784634476034,5.612452507019043,3.3071518739064536
11,6.320008754730225,3.053514783199017,5.588167667388916,3.2431971232096353
12,6.253859043121338,3.004132149565933,5.508347988128662,3.1451710982200427
13,6.236085414886475,2.9395663738250732,5.510058403015137,3.0977309483748217
14,6.237490177154541,2.8907698698532887,5.597248077392578,3.115529622787084
15,6.234202861785889,2.834468419735248,5.5476250648498535,3.069430803641295
16,6.235366344451904,2.7921941484141555,5.607147216796875,3.0228738356859255
17,6.2377519607543945,2.7578993200236916,5.589677333831787,2.985292520278539
18,6.235724449157715,2.721748858435541,5.519245147705078,2.9826245796986117
19,6.225188732147217,2.720385182617057,5.541355133056641,2.947791111774934
20,6.231930255889893,2.6888923471809454,5.684743404388428,2.9039017114883814
21,6.2196478843688965,2.6563188897238836,5.541612148284912,2.8883286133790627
22,6.200310707092285,2.632207839916914,5.611278533935547,2.9255428436474924
23,6.228143692016602,2.595914908963391,5.5911970138549805,2.8955501654209237
24,6.2180986404418945,2.6008602278864283,5.545207500457764,2.8916050654191237
25,6.260134696960449,2.5835592634657507,5.7134575843811035,2.8241280164474096
26,6.22589111328125,2.5442196517928033,5.502963066101074,2.7909691089238877
27,6.23471736907959,2.519729383990296,5.593697547912598,2.822854011486738
28,6.22855281829834,2.5214105701854086,5.571934700012207,2.7223890744722805
29,6.23070764541626,2.4856900771458945,5.717857837677002,2.7896427741417518
30,6.229160308837891,2.46520049449725,5.696818828582764,2.734073363817655
31,6.228975772857666,2.4684330958586473,5.620028495788574,2.7362312170175405
32,6.225139141082764,2.446164847439171,5.757401943206787,2.700535346300174
33,6.224928855895996,2.4321949909894895,5.695219039916992,2.6343020598093667
34,6.219908714294434,2.417297000558967,5.769100189208984,2.680868332202618
35,6.217269420623779,2.410025173272842,5.601428508758545,2.6653066598452053
36,6.223572254180908,2.3908582334844475,5.552957534790039,2.655049110070253
37,6.185184478759766,2.3901818674853725,5.7882232666015625,2.648186512482472
38,6.225242614746094,2.360768087908753,5.859247207641602,2.645593930513431
39,6.189271450042725,2.3714063422292724,4.600160598754883,2.650501679151486
40,6.165916919708252,2.3536941088162937,4.559950828552246,2.626842859463814
41,6.147494316101074,2.3202536579890127,4.51450252532959,2.619948020348182
42,6.133574485778809,2.3420685631597142,4.74069356918335,2.601299597666814
43,6.178489685058594,2.3247120487384305,4.57621955871582,2.628159229572003
44,6.103163719177246,2.326621264983446,4.840941905975342,2.6066519908415966
45,6.191686153411865,2.322075365954994,4.79270076751709,2.558928361305824
46,6.20233678817749,2.286902361955398,4.769838333129883,2.6301648372258897
47,6.1862382888793945,2.30898187099359,4.7211456298828125,2.525850412173149
48,6.162517547607422,2.2950856120158463,4.881221771240234,2.5704454947740603
49,6.146453857421875,2.271759921668941,4.814809799194336,2.537868151297936
50,6.220042705535889,2.277431019860455,4.735169410705566,2.5755957945799217
51,6.170261859893799,2.2736681720130463,4.760201930999756,2.567272981007894
52,6.15561056137085,2.237395083292937,4.543936252593994,2.5732306028023744
53,6.151637077331543,2.2425327514990783,4.670926570892334,2.554823202964587
54,6.156623840332031,2.2549483592693624,4.992844104766846,2.573695347859309
55,6.171739101409912,2.2396634496175327,4.832663059234619,2.528457531562218
56,6.126616954803467,2.232440164965442,4.675815105438232,2.485354478542621
57,6.108577728271484,2.21854456469544,4.66547155380249,2.5510492813892856
